user_id,meal,meal_id,quantity,cafeteria_id,status,timestamp
user_3,Fried Rice with Plantain,1,2,1,Pending,2025-04-29 03:32:06
user_6,Beans and Plantain,9,2,5,Completed,2025-05-07 03:32:06
user_3,Beans and Plantain,9,2,5,Ready,2025-05-02 03:32:06
user_12,Poundo Yam with Egusi,3,1,2,Pending,2025-04-29 03:32:06
user_14,Spaghetti with Turkey,4,1,3,Pending,2025-05-01 03:32:06
user_7,Poundo Yam with Egusi,3,1,2,Ready,2025-05-02 03:32:06
user_17,Fried Rice with Plantain,1,1,1,Completed,2025-05-05 03:32:06
user_9,Fried Rice with Plantain,1,1,1,Pending,2025-05-06 03:32:06
user_11,Beans and Plantain,9,2,5,Pending,2025-05-12 03:32:06
user_8,White Rice with Stew,8,3,5,Pending,2025-05-03 03:32:06
user_15,Spaghetti with Turkey,4,2,3,Pending,2025-05-10 03:32:06
user_16,Yam Porridge,2,3,2,Ready,2025-05-01 03:32:06
user_17,Spaghetti with Turkey,4,3,3,Ready,2025-05-05 03:32:06
user_7,Yam Porridge,2,2,2,Completed,2025-05-02 03:32:06
user_12,Spaghetti with Turkey,4,1,3,Pending,2025-05-08 03:32:06
user_15,Poundo Yam with Egusi,3,3,2,Completed,2025-05-03 03:32:06
user_15,Fried Rice with Plantain,1,2,1,Completed,2025-05-07 03:32:06
user_20,Jollof Rice with Chicken,0,2,1,Pending,2025-05-07 03:32:06
user_7,Poundo Yam with Egusi,3,2,2,Ready,2025-05-13 03:32:06
user_7,Smoothie - Banana,6,3,4,Pending,2025-05-07 03:32:06
user_8,Smoothie - Banana,6,1,4,Ready,2025-05-01 03:32:06
user_2,Spaghetti with Turkey,4,1,3,Pending,2025-05-10 03:32:06
user_4,Spaghetti with Turkey,4,3,3,Completed,2025-05-06 03:32:06
user_11,Spaghetti with Turkey,4,3,3,Ready,2025-05-06 03:32:06
user_9,White Rice with Stew,8,1,5,Ready,2025-05-04 03:32:06
user_7,Smoothie - Banana,6,1,4,Ready,2025-05-07 03:32:06
user_4,Spaghetti with Turkey,4,1,3,Completed,2025-05-01 03:32:06
user_18,White Rice with Stew,8,3,5,Ready,2025-05-09 03:32:06
user_4,Beans and Plantain,9,1,5,Completed,2025-04-29 03:32:06
user_17,Yam Porridge,2,2,2,Ready,2025-05-06 03:32:06
user_11,Spaghetti with Turkey,4,3,3,Ready,2025-05-13 03:32:06
user_6,Smoothie - Mango,7,1,4,Completed,2025-04-29 03:32:06
user_9,Yam Porridge,2,3,2,Completed,2025-05-13 03:32:06
user_19,Smoothie - Banana,6,2,4,Pending,2025-05-11 03:32:06
user_7,Smoothie - Banana,6,3,4,Pending,2025-05-02 03:32:06
user_14,Jollof Rice with Chicken,0,3,1,Completed,2025-04-29 03:32:06
user_5,Smoothie - Mango,7,3,4,Completed,2025-05-11 03:32:06
user_2,Pancakes with Syrup,5,3,3,Pending,2025-05-10 03:32:06
user_1,Spaghetti with Turkey,4,2,3,Completed,2025-05-11 03:32:06
user_11,Pancakes with Syrup,5,2,3,Completed,2025-05-09 03:32:06
user_5,Spaghetti with Turkey,4,1,3,Ready,2025-05-06 03:32:06
user_10,White Rice with Stew,8,3,5,Ready,2025-05-08 03:32:06
user_11,White Rice with Stew,8,1,5,Ready,2025-04-29 03:32:06
user_7,Pancakes with Syrup,5,2,3,Ready,2025-05-04 03:32:06
user_13,Poundo Yam with Egusi,3,3,2,Ready,2025-05-04 03:32:06
user_3,Beans and Plantain,9,1,5,Completed,2025-05-03 03:32:06
user_5,White Rice with Stew,8,2,5,Pending,2025-04-29 03:32:06
user_3,Smoothie - Banana,6,3,4,Ready,2025-05-01 03:32:06
user_17,Smoothie - Mango,7,1,4,Ready,2025-05-07 03:32:06
user_5,Fried Rice with Plantain,1,3,1,Completed,2025-05-08 03:32:06
user_18,Jollof Rice with Chicken,0,1,1,Ready,2025-05-13 03:32:06
user_3,Fried Rice with Plantain,1,2,1,Completed,2025-04-30 03:32:06
user_3,Fried Rice with Plantain,1,3,1,Pending,2025-05-02 03:32:06
user_16,Fried Rice with Plantain,1,1,1,Pending,2025-05-02 03:32:06
user_17,Fried Rice with Plantain,1,3,1,Completed,2025-04-29 03:32:06
user_14,Spaghetti with Turkey,4,2,3,Pending,2025-05-03 03:32:06
user_5,Beans and Plantain,9,1,5,Pending,2025-05-13 03:32:06
user_11,Smoothie - Mango,7,3,4,Ready,2025-05-06 03:32:06
user_17,Poundo Yam with Egusi,3,3,2,Pending,2025-05-05 03:32:06
user_4,Poundo Yam with Egusi,3,1,2,Pending,2025-05-05 03:32:06
user_11,Pancakes with Syrup,5,2,3,Pending,2025-04-29 03:32:06
user_9,Smoothie - Mango,7,3,4,Ready,2025-04-29 03:32:06
user_11,Pancakes with Syrup,5,3,3,Pending,2025-05-04 03:32:06
user_9,Pancakes with Syrup,5,3,3,Completed,2025-05-03 03:32:06
user_9,White Rice with Stew,8,1,5,Pending,2025-05-07 03:32:06
user_16,Jollof Rice with Chicken,0,3,1,Ready,2025-05-13 03:32:06
user_13,Pancakes with Syrup,5,3,3,Pending,2025-05-09 03:32:06
user_16,Pancakes with Syrup,5,1,3,Ready,2025-05-04 03:32:06
user_15,Fried Rice with Plantain,1,1,1,Pending,2025-05-06 03:32:06
user_3,Beans and Plantain,9,3,5,Ready,2025-05-05 03:32:06
user_12,Smoothie - Mango,7,1,4,Ready,2025-04-30 03:32:06
user_4,Spaghetti with Turkey,4,2,3,Pending,2025-05-02 03:32:06
user_4,Beans and Plantain,9,1,5,Pending,2025-05-09 03:32:06
user_8,Poundo Yam with Egusi,3,3,2,Completed,2025-05-01 03:32:06
user_17,Poundo Yam with Egusi,3,2,2,Pending,2025-05-09 03:32:06
user_8,Poundo Yam with Egusi,3,1,2,Completed,2025-04-29 03:32:06
user_11,Yam Porridge,2,3,2,Ready,2025-05-13 03:32:06
user_4,Pancakes with Syrup,5,3,3,Pending,2025-05-12 03:32:06
user_11,Spaghetti with Turkey,4,3,3,Ready,2025-05-04 03:32:06
user_1,White Rice with Stew,8,2,5,Pending,2025-05-05 03:32:06
user_5,White Rice with Stew,8,3,5,Pending,2025-05-04 03:32:06
user_1,Pancakes with Syrup,5,1,3,Ready,2025-05-06 03:32:06
user_6,Smoothie - Banana,6,1,4,Ready,2025-05-05 03:32:06
user_14,Poundo Yam with Egusi,3,3,2,Completed,2025-05-10 03:32:06
user_14,Yam Porridge,2,2,2,Ready,2025-05-08 03:32:06
user_2,Poundo Yam with Egusi,3,1,2,Pending,2025-05-05 03:32:06
user_11,Smoothie - Mango,7,1,4,Pending,2025-05-06 03:32:06
user_10,Fried Rice with Plantain,1,1,1,Completed,2025-05-03 03:32:06
user_9,Beans and Plantain,9,2,5,Ready,2025-05-08 03:32:06
user_16,Yam Porridge,2,1,2,Pending,2025-04-29 03:32:06
user_8,Pancakes with Syrup,5,3,3,Ready,2025-05-06 03:32:06
user_2,White Rice with Stew,8,1,5,Completed,2025-04-29 03:32:06
user_8,Pancakes with Syrup,5,2,3,Completed,2025-05-09 03:32:06
user_6,Pancakes with Syrup,5,1,3,Completed,2025-04-29 03:32:06
user_9,Smoothie - Banana,6,3,4,Ready,2025-05-01 03:32:06
user_18,White Rice with Stew,8,2,5,Pending,2025-05-07 03:32:06
user_16,White Rice with Stew,8,1,5,Ready,2025-05-03 03:32:06
user_7,Pancakes with Syrup,5,2,3,Pending,2025-05-11 03:32:06
user_9,Jollof Rice with Chicken,0,2,1,Ready,2025-05-04 03:32:06
user_1,Poundo Yam with Egusi,3,2,2,Ready,2025-05-11 03:32:06
